"","sample","latitude","longitude","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","method","campaignid","broad.bryozoa","ID","Z","slope","aspect","TPI","TRI","roughness","detrended","lineartrend","inverts"
"1","1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,57,59,0.292682926829268,0.512049921346757,"BOSS",NA,0,1,-108,1.38771254772878,300.264015890285,-0.75,4.75,16,-1.5866311788559,-106.413368225098,2
"2","2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,49,50,0.333333333333333,0.479463301485384,"BOSS",NA,0,2,-185,3.05003737771966,294.038261635229,-0.375,10.875,37,-10.7991189956665,-174.200881958008,1
"3","4",-22.7113,113.5415,20210520,"inNP.4","Point Cloates",100,"Yes",0,0,0,2,2,58,62,0.414634146341463,0.546608166610121,"BOSS",NA,0,3,-109,1.52276236421566,287.829161710294,0.5,5.5,17,20.3568592071533,-129.356857299805,4
"4","7",-22.7462,113.5314,20210520,"inNP.7","Point Cloates",99.6,"Yes",0,0,5,0,0,43,48,0.0512820512820513,0.223455865030959,"BOSS",NA,0,4,-103,0.916189232280073,283.07387278345,0,3.25,10,45.0465888977051,-148.046585083008,5
"5","9",-22.6937,113.5389,20210520,"inNP.9","Point Cloates",114,"Yes",0,1,10,6,22,13,52,1.55,0.638507875982989,"BOSS",NA,0,5,-120,1.50570364449741,292.238417670397,2.125,5.375,19,16.4109001159668,-136.410903930664,39
"6","10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,62,62,0,0,"BOSS",NA,0,6,-197,2.94863543742085,294.921812429322,-0.25,10.5,36,-25.5849514007568,-171.415054321289,0
"7","12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,31,58,0.975,0.35716117169158,"BOSS",NA,0,7,-118,0.297477953957385,249.61239533401,-2.75,2.75,6,21.1879634857178,-139.187957763672,27
"8","13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,38,58,0.775,0.53048115556564,"BOSS",NA,0,8,-114,0.308398677790197,327.148810687625,1.875,2.625,7,20.9505558013916,-134.950561523438,20
"9","15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,52,56,0.393939393939394,0.496197663448873,"BOSS",NA,0,9,-185,2.99375544949192,292.897285133911,0.375,10.625,36,-6.31993103027344,-178.680068969727,4
"10","18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,24,54,1.30769230769231,1.02991686312016,"BOSS",NA,0,10,-110,0.0761169513248376,47.0978149287917,3.875,3.875,6,7.31709957122803,-117.317100524902,30
"11","19",-22.7314,113.5313,20210520,"inNP.19","Point Cloates",106,"Yes",0,2,4,5,13,28,52,0.945945945945946,0.704980139434436,"BOSS",NA,0,11,-120,1.11221061049088,282.100274767853,-1.75,4,13,28.3619937896729,-148.361999511719,24
"12","20",-22.7187,113.5265,20210520,"inNP.20","Point Cloates",120,"Yes",0,0,2,7,9,36,54,1,0.338061701891407,"BOSS",NA,0,12,-126,1.48846993386863,287.207619190495,1,5.25,17,33.4180603027344,-159.418060302734,18
"13","21",-22.6963,113.544,20210520,"inNP.21","Point Cloates",103,"Yes",0,0,0,7,7,41,55,0.782608695652174,0.629392775379955,"BOSS",NA,0,13,-120,0.0380603447193467,132.899593798173,-5.875,5.875,11,5.57793474197388,-125.577934265137,14
"14","22",-22.7438,113.5337,20210520,"inNP.22","Point Cloates",96.4,"Yes",0,0,1,2,0,55,58,0.184210526315789,0.392859452063192,"BOSS",NA,0,14,-100,0.883355891156282,281.846438711225,0.125,3.125,9,43.4250679016113,-143.425064086914,3
"15","24",-22.7113,113.5088,20210520,"inNP.24","Point Cloates",189,"Yes",0,0,0,0,0,53,53,0.025,0.158113883008419,"BOSS",NA,0,15,-218,2.62324579017012,290.81199413481,-0.875,9.375,31,-17.8051643371582,-200.194839477539,0
"16","25",-22.7262,113.4913,20210520,"outNP.1","Point Cloates",208,"Yes",0,0,0,0,0,57,57,0,0,"BOSS",NA,0,16,-258,1.38658224086116,285.16138918981,-0.625,4.875,16,-19.6120643615723,-238.387939453125,0
"17","26",-22.7388,113.5089,20210520,"outNP.2","Point Cloates",152,"Yes",0,0,1,1,3,43,48,0.236842105263158,0.489578446703416,"BOSS",NA,0,17,-177,2.08654054958156,298.140284733977,-0.75,7.5,26,17.5249099731445,-194.524917602539,5
"18","27",-22.7635,113.4964,20210519,"outNP.3","Point Cloates",162,"Yes",0,0,0,0,0,60,60,0,0,"BOSS",NA,0,18,-169,2.11740856437753,288.541234218056,2,7.5,25,47.618824005127,-216.61882019043,0
"19","28",-22.7585,113.4762,20210519,"outNP.4","Point Cloates",206,"Yes",0,0,0,0,0,43,43,0,0,"BOSS",NA,0,19,-270,2.32703534441182,290.859602563496,-0.625,8.375,28,-5.86394596099854,-264.136047363281,0
