"","depth","TRI","TPI","roughness","slope","aspect","detrended"
"depth",1,0.76,0,0.71,0.72,0,-0.28
"TRI",0.76,1,0.13,0.97,0.96,0.1,-0.25
"TPI",0,0.13,1,0.08,0.09,0.06,0.31
"roughness",0.71,0.97,0.08,1,0.98,0.23,-0.31
"slope",0.72,0.96,0.09,0.98,1,0.27,-0.27
"aspect",0,0.1,0.06,0.23,0.27,1,-0.1
"detrended",-0.28,-0.25,0.31,-0.31,-0.27,-0.1,1
