"","depth","TRI","roughness","slope","aspect","detrended"
"depth",1,-0.49,-0.51,-0.52,-0.21,-0.64
"TRI",-0.49,1,0.98,0.97,0.15,0.61
"roughness",-0.51,0.98,1,0.98,0.16,0.64
"slope",-0.52,0.97,0.98,1,0.17,0.64
"aspect",-0.21,0.15,0.16,0.17,1,0.21
"detrended",-0.64,0.61,0.64,0.64,0.21,1
