location class ndomcell total_p lower_ci upper_ci dom_area p_area lci_area uci_area area_dif
1 Abrolhos kelps 0 87.9815983017645 40.3447495107238 135.618447092805 0 5498849.89386028 2521546.84442024 8476152.94330033 -5498849.89386028
2 Abrolhos macroalg 1124 1385.54672979248 1184.3655518037 1586.72790778126 70250000 86596670.61203 74022846.9877314 99170494.2363285 -16346670.61203
3 Abrolhos sand 4368 5389.4798089569 5122.72682193664 5656.23279597717 2.73e+08 336842488.059806 320170426.37104 353514549.748573 -63842488.0598065
4 Abrolhos rock 599 1033.72071269191 892.341012822877 1175.10041256095 37437500 64607544.5432445 55771313.3014298 73443775.7850593 -27170044.5432445
5 Abrolhos inverts 4301 3219.83501058695 2954.6873978831 3484.9826232908 268812500 201239688.161684 184667962.367694 217811413.955675 67572811.8383158
6 Abrolhos total total 0 0 649500000 694785241 -45285241 Abrolhos total total
