location,habtype,phabname,ndom_cell,pcellsum,dom_area,p_area,area_dif
Abrolhos,kelps,pkelps,0,87.9815983,0,5498849.894,-5498849.894
Abrolhos,macroalg,pmacroalg,1124,1385.54673,70250000,86596670.61,-16346670.61
Abrolhos,sand,psand,4368,5389.479809,2.73E+08,336842488.1,-63842488.06
Abrolhos,rock,prock,599,1033.720713,37437500,64607544.54,-27170044.54
Abrolhos,inverts,pinverts,4301,3219.835011,268812500,201239688.2,67572811.84
Abrolhos,total,total,10392,11117,649500000,694785241,-45285241
