campaignid,opcode,level_1,caab_code,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,count
2020-06_south-west_stereoBRUVs,16,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,16,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,27
2020-06_south-west_stereoBRUVs,17,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,17,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,17,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,18,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,20
2020-06_south-west_stereoBRUVs,19,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,19,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,19,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,20
2020-06_south-west_stereoBRUVs,19,Physical,82003007,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,20,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,20,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,20,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,21,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,18
2020-06_south-west_stereoBRUVs,21,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,22,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,22,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,22,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,23,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
