campaignid,period,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,caab_code,count
2021-05_PtCloates_BOSS,36,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,30
2021-05_PtCloates_BOSS,37,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,32
2021-05_PtCloates_BOSS,37,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,2
2021-05_PtCloates_BOSS,39,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,20
2021-05_PtCloates_BOSS,39,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,11
2021-05_PtCloates_BOSS,4,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,25
2021-05_PtCloates_BOSS,4,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,15
2021-05_PtCloates_BOSS,4,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2021-05_PtCloates_BOSS,40,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,18
2021-05_PtCloates_BOSS,40,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,16
2021-05_PtCloates_BOSS,40,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,3
2021-05_PtCloates_BOSS,42,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,39
2021-05_PtCloates_BOSS,42,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2021-05_PtCloates_BOSS,43,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2021-05_PtCloates_BOSS,44,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,2
2021-05_PtCloates_BOSS,44,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,28
2021-05_PtCloates_BOSS,44,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,5
2021-05_PtCloates_BOSS,45,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2021-05_PtCloates_BOSS,46,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,11
2021-05_PtCloates_BOSS,46,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,20
2021-05_PtCloates_BOSS,46,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2021-05_PtCloates_BOSS,47,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,36
2021-05_PtCloates_BOSS,48,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2021-05_PtCloates_BOSS,49,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,24
2021-05_PtCloates_BOSS,49,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,11
2021-05_PtCloates_BOSS,50,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,3
2021-05_PtCloates_BOSS,50,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,13
2021-05_PtCloates_BOSS,50,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,13
2021-05_PtCloates_BOSS,50,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,14
2021-05_PtCloates_BOSS,7,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,37
2021-05_PtCloates_BOSS,7,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,2
2021-05_PtCloates_BOSS,9,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,21
2021-05_PtCloates_BOSS,9,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,16
2021-05_PtCloates_BOSS,9,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,3
2021-05_PtCloates_BOSS,M1,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,28
2021-05_PtCloates_BOSS,M1,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,2
