campaignid,opcode,level_1,level_2,level_3,level_4,level_5,caab_code,count
2022-05_PtCloates_stereo-BRUVs,1,Physical,Relief,Flat,NA,0,82003001,18
2022-05_PtCloates_stereo-BRUVs,1,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2022-05_PtCloates_stereo-BRUVs,10,Physical,Relief,Flat,NA,0,82003001,21
2022-05_PtCloates_stereo-BRUVs,10,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2022-05_PtCloates_stereo-BRUVs,11,Physical,Relief,Flat,NA,0,82003001,20
2022-05_PtCloates_stereo-BRUVs,12,Physical,Relief,Flat,NA,0,82003001,14
2022-05_PtCloates_stereo-BRUVs,12,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2022-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Flat,NA,0,82003001,16
2022-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2022-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,2
2022-05_PtCloates_stereo-BRUVs,14,Physical,Relief,Flat,NA,0,82003001,22
2022-05_PtCloates_stereo-BRUVs,15,Physical,Relief,Flat,NA,0,82003001,16
2022-05_PtCloates_stereo-BRUVs,15,Physical,Relief,Low / moderate,Low (<1m),1,82003003,9
2022-05_PtCloates_stereo-BRUVs,16,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Flat,NA,0,82003001,5
2022-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2022-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,9
2022-05_PtCloates_stereo-BRUVs,18,Physical,Relief,Flat,NA,0,82003001,23
2022-05_PtCloates_stereo-BRUVs,19,Physical,Relief,High,High (>3m),3,82003006,6
2022-05_PtCloates_stereo-BRUVs,19,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2022-05_PtCloates_stereo-BRUVs,19,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,11
2022-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Flat,NA,0,82003001,2
2022-05_PtCloates_stereo-BRUVs,2,Physical,Relief,High,High (>3m),3,82003006,8
2022-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2022-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2022-05_PtCloates_stereo-BRUVs,20,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,20,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Flat,NA,0,82003001,1
2022-05_PtCloates_stereo-BRUVs,21,Physical,Relief,High,High (>3m),3,82003006,1
2022-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Low / moderate,Low (<1m),1,82003003,14
2022-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,8
2022-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Flat,NA,0,82003001,1
2022-05_PtCloates_stereo-BRUVs,22,Physical,Relief,High,High (>3m),3,82003006,1
2022-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Low / moderate,Low (<1m),1,82003003,13
2022-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2022-05_PtCloates_stereo-BRUVs,23,Physical,Relief,Flat,NA,0,82003001,25
2022-05_PtCloates_stereo-BRUVs,24,Physical,Relief,Flat,NA,0,82003001,23
2022-05_PtCloates_stereo-BRUVs,24,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2022-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Flat,NA,0,82003001,7
2022-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2022-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,4
2022-05_PtCloates_stereo-BRUVs,26,Physical,Relief,Flat,NA,0,82003001,20
2022-05_PtCloates_stereo-BRUVs,27,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,27,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,28,Physical,Relief,Flat,NA,0,82003001,6
2022-05_PtCloates_stereo-BRUVs,28,Physical,Relief,Low / moderate,Low (<1m),1,82003003,16
2022-05_PtCloates_stereo-BRUVs,28,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,2
2022-05_PtCloates_stereo-BRUVs,29,Physical,Relief,Flat,NA,0,82003001,5
2022-05_PtCloates_stereo-BRUVs,29,Physical,Relief,High,High (>3m),3,82003006,7
2022-05_PtCloates_stereo-BRUVs,29,Physical,Relief,Low / moderate,Low (<1m),1,82003003,10
2022-05_PtCloates_stereo-BRUVs,29,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2022-05_PtCloates_stereo-BRUVs,3,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,3,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,30,Physical,Relief,Flat,NA,0,82003001,14
2022-05_PtCloates_stereo-BRUVs,30,Physical,Relief,Low / moderate,Low (<1m),1,82003003,13
2022-05_PtCloates_stereo-BRUVs,30,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2022-05_PtCloates_stereo-BRUVs,31,Physical,Relief,Flat,NA,0,82003001,19
2022-05_PtCloates_stereo-BRUVs,31,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2022-05_PtCloates_stereo-BRUVs,32,Physical,Relief,Flat,NA,0,82003001,16
2022-05_PtCloates_stereo-BRUVs,32,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2022-05_PtCloates_stereo-BRUVs,33,Physical,Relief,Flat,NA,0,82003001,23
2022-05_PtCloates_stereo-BRUVs,34,Physical,Relief,Flat,NA,0,82003001,12
2022-05_PtCloates_stereo-BRUVs,34,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2022-05_PtCloates_stereo-BRUVs,35,Physical,Relief,Flat,NA,0,82003001,21
2022-05_PtCloates_stereo-BRUVs,35,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2022-05_PtCloates_stereo-BRUVs,36,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,36,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,37,Physical,Relief,High,High (>3m),3,82003006,2
2022-05_PtCloates_stereo-BRUVs,37,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2022-05_PtCloates_stereo-BRUVs,37,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,15
2022-05_PtCloates_stereo-BRUVs,38,Physical,Relief,Flat,NA,0,82003001,3
2022-05_PtCloates_stereo-BRUVs,38,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2022-05_PtCloates_stereo-BRUVs,38,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,11
2022-05_PtCloates_stereo-BRUVs,39,Physical,Relief,Flat,NA,0,82003001,3
2022-05_PtCloates_stereo-BRUVs,39,Physical,Relief,High,High (>3m),3,82003006,8
2022-05_PtCloates_stereo-BRUVs,39,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2022-05_PtCloates_stereo-BRUVs,39,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,4
2022-05_PtCloates_stereo-BRUVs,4,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,4,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2022-05_PtCloates_stereo-BRUVs,40,Physical,Relief,Flat,NA,0,82003001,23
2022-05_PtCloates_stereo-BRUVs,40,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2022-05_PtCloates_stereo-BRUVs,41,Physical,Relief,Flat,NA,0,82003001,17
2022-05_PtCloates_stereo-BRUVs,41,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2022-05_PtCloates_stereo-BRUVs,42,Physical,Relief,Flat,NA,0,82003001,22
2022-05_PtCloates_stereo-BRUVs,42,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2022-05_PtCloates_stereo-BRUVs,43,Physical,Relief,Flat,NA,0,82003001,13
2022-05_PtCloates_stereo-BRUVs,43,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2022-05_PtCloates_stereo-BRUVs,43,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,3
2022-05_PtCloates_stereo-BRUVs,44,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,44,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,45,Physical,Relief,Flat,NA,0,82003001,5
2022-05_PtCloates_stereo-BRUVs,45,Physical,Relief,Low / moderate,Low (<1m),1,82003003,15
2022-05_PtCloates_stereo-BRUVs,45,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,5
2022-05_PtCloates_stereo-BRUVs,46,Physical,Relief,Flat,NA,0,82003001,2
2022-05_PtCloates_stereo-BRUVs,46,Physical,Relief,High,High (>3m),3,82003006,11
2022-05_PtCloates_stereo-BRUVs,46,Physical,Relief,Low / moderate,Low (<1m),1,82003003,9
2022-05_PtCloates_stereo-BRUVs,46,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,8
2022-05_PtCloates_stereo-BRUVs,47,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,47,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2022-05_PtCloates_stereo-BRUVs,48,Physical,Relief,Flat,NA,0,82003001,25
2022-05_PtCloates_stereo-BRUVs,49,Physical,Relief,Flat,NA,0,82003001,12
2022-05_PtCloates_stereo-BRUVs,49,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2022-05_PtCloates_stereo-BRUVs,5,Physical,Relief,Flat,NA,0,82003001,22
2022-05_PtCloates_stereo-BRUVs,5,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2022-05_PtCloates_stereo-BRUVs,50,Physical,Relief,Flat,NA,0,82003001,11
2022-05_PtCloates_stereo-BRUVs,50,Physical,Relief,Low / moderate,Low (<1m),1,82003003,14
2022-05_PtCloates_stereo-BRUVs,51,Physical,Relief,Flat,NA,0,82003001,6
2022-05_PtCloates_stereo-BRUVs,51,Physical,Relief,Low / moderate,Low (<1m),1,82003003,9
2022-05_PtCloates_stereo-BRUVs,51,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2022-05_PtCloates_stereo-BRUVs,52,Physical,Relief,Flat,NA,0,82003001,17
2022-05_PtCloates_stereo-BRUVs,52,Physical,Relief,Low / moderate,Low (<1m),1,82003003,7
2022-05_PtCloates_stereo-BRUVs,53,Physical,Relief,High,High (>3m),3,82003006,4
2022-05_PtCloates_stereo-BRUVs,53,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2022-05_PtCloates_stereo-BRUVs,53,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,11
2022-05_PtCloates_stereo-BRUVs,54,Physical,Relief,Flat,NA,0,82003001,12
2022-05_PtCloates_stereo-BRUVs,54,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2022-05_PtCloates_stereo-BRUVs,55,Physical,Relief,Flat,NA,0,82003001,1
2022-05_PtCloates_stereo-BRUVs,55,Physical,Relief,Low / moderate,Low (<1m),1,82003003,18
2022-05_PtCloates_stereo-BRUVs,55,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,4
2022-05_PtCloates_stereo-BRUVs,56,Physical,Relief,Flat,NA,0,82003001,23
2022-05_PtCloates_stereo-BRUVs,56,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2022-05_PtCloates_stereo-BRUVs,57,Physical,Relief,High,High (>3m),3,82003006,3
2022-05_PtCloates_stereo-BRUVs,57,Physical,Relief,Low / moderate,Low (<1m),1,82003003,7
2022-05_PtCloates_stereo-BRUVs,57,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2022-05_PtCloates_stereo-BRUVs,58,Physical,Relief,Flat,NA,0,82003001,15
2022-05_PtCloates_stereo-BRUVs,58,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2022-05_PtCloates_stereo-BRUVs,59,Physical,Relief,Flat,NA,0,82003001,12
2022-05_PtCloates_stereo-BRUVs,59,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2022-05_PtCloates_stereo-BRUVs,6,Physical,Relief,Flat,NA,0,82003001,25
2022-05_PtCloates_stereo-BRUVs,60,Physical,Relief,Flat,NA,0,82003001,11
2022-05_PtCloates_stereo-BRUVs,60,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2022-05_PtCloates_stereo-BRUVs,60,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2022-05_PtCloates_stereo-BRUVs,61,Physical,Relief,Flat,NA,0,82003001,8
2022-05_PtCloates_stereo-BRUVs,61,Physical,Relief,Low / moderate,Low (<1m),1,82003003,10
2022-05_PtCloates_stereo-BRUVs,61,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2022-05_PtCloates_stereo-BRUVs,62,Physical,Relief,Flat,NA,0,82003001,9
2022-05_PtCloates_stereo-BRUVs,62,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2022-05_PtCloates_stereo-BRUVs,62,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,3
2022-05_PtCloates_stereo-BRUVs,63,Physical,Relief,Flat,NA,0,82003001,15
2022-05_PtCloates_stereo-BRUVs,63,Physical,Relief,Low / moderate,Low (<1m),1,82003003,7
2022-05_PtCloates_stereo-BRUVs,64,Physical,Relief,Flat,NA,0,82003001,14
2022-05_PtCloates_stereo-BRUVs,64,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2022-05_PtCloates_stereo-BRUVs,7,Physical,Relief,Flat,NA,0,82003001,22
2022-05_PtCloates_stereo-BRUVs,7,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2022-05_PtCloates_stereo-BRUVs,8,Physical,Relief,Flat,NA,0,82003001,24
2022-05_PtCloates_stereo-BRUVs,9,Physical,Relief,Flat,NA,0,82003001,20
2022-05_PtCloates_stereo-BRUVs,9,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
