campaignid,period,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,caab_code,count
2022-05_PtCloates_Naked-BOSS,228,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,229,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,27
2022-05_PtCloates_Naked-BOSS,229,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,13
2022-05_PtCloates_Naked-BOSS,230,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,60
2022-05_PtCloates_Naked-BOSS,231,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,58
2022-05_PtCloates_Naked-BOSS,232,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,47
2022-05_PtCloates_Naked-BOSS,232,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,6
2022-05_PtCloates_Naked-BOSS,232,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,2
2022-05_PtCloates_Naked-BOSS,233,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2022-05_PtCloates_Naked-BOSS,234,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,33
2022-05_PtCloates_Naked-BOSS,234,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,235,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,53
2022-05_PtCloates_Naked-BOSS,236,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,39
2022-05_PtCloates_Naked-BOSS,237,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,60
2022-05_PtCloates_Naked-BOSS,238,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,39
2022-05_PtCloates_Naked-BOSS,238,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,239,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,25
2022-05_PtCloates_Naked-BOSS,239,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,5
2022-05_PtCloates_Naked-BOSS,240,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,56
2022-05_PtCloates_Naked-BOSS,240,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,241,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,34
2022-05_PtCloates_Naked-BOSS,242,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,19
2022-05_PtCloates_Naked-BOSS,242,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,17
2022-05_PtCloates_Naked-BOSS,242,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,3
2022-05_PtCloates_Naked-BOSS,243,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,49
2022-05_PtCloates_Naked-BOSS,243,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,2
2022-05_PtCloates_Naked-BOSS,244,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,34
2022-05_PtCloates_Naked-BOSS,245,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,57
2022-05_PtCloates_Naked-BOSS,245,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,246,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,42
2022-05_PtCloates_Naked-BOSS,247,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,4
2022-05_PtCloates_Naked-BOSS,247,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,20
2022-05_PtCloates_Naked-BOSS,247,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,23
2022-05_PtCloates_Naked-BOSS,248,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,50
2022-05_PtCloates_Naked-BOSS,249,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,35
2022-05_PtCloates_Naked-BOSS,249,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,250,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,28
2022-05_PtCloates_Naked-BOSS,250,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,14
2022-05_PtCloates_Naked-BOSS,251,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,37
2022-05_PtCloates_Naked-BOSS,251,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,252,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,32
2022-05_PtCloates_Naked-BOSS,252,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,8
2022-05_PtCloates_Naked-BOSS,253,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,45
2022-05_PtCloates_Naked-BOSS,253,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,15
2022-05_PtCloates_Naked-BOSS,254,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,1
2022-05_PtCloates_Naked-BOSS,254,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,39
2022-05_PtCloates_Naked-BOSS,254,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2022-05_PtCloates_Naked-BOSS,255,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,60
2022-05_PtCloates_Naked-BOSS,256,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,32
2022-05_PtCloates_Naked-BOSS,256,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,8
2022-05_PtCloates_Naked-BOSS,257,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,18
2022-05_PtCloates_Naked-BOSS,257,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,18
2022-05_PtCloates_Naked-BOSS,258,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,37
2022-05_PtCloates_Naked-BOSS,258,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,258,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,5
2022-05_PtCloates_Naked-BOSS,259,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,36
2022-05_PtCloates_Naked-BOSS,260,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,28
