date_raw,sample,time.bottom,year,month,day,date_time,time.end,depth_m,raw.hdd.number,con.hdd.number,latitude_dd,longitude_dd,comment,FishNClipz,forwards.habitat.north.exported,forwards.habitat.north.annotated,forwards.habitat.east.exported,forwards.habitat.east.annotated,forwards.habitat.south.exported,forwards.habitat.south.annotated,forwards.habitat.west.exported,forwards.habitat.west.annotated,successful_habitat_panoramic,observer_habitat_panoramic,downwards.habitat.exported,downwards.habitat.completed,successful_habitat_downward,observer_habitat_downward,habitat notes,site,location,status,observer_count,successful_count,successful_length,video.notes,maxn.analyst,Maxn.complete.yyyymmdd,maxn.checker,length.analyst,length.complete.date.yyyymmdd,notes
20201020,FH62,14:32:04,2020,10,20,2020-10-20T14:32:04+08:00,14:36:00,45.2,BU3,,-33.7562,114.8814,,No,Yes,,Yes,,Yes,,Yes,,No,,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201020,FH30,14:44:05,2020,10,20,2020-10-20T14:44:05+08:00,14:48:00,46.9,BU3,,-33.7512,114.8889,depth missing replaced with GA 250 bathy,No,Yes,,Yes,,Yes,,Yes,,No,,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,261,07:00:38,2020,10,30,2020-10-30T07:00:38+08:00,07:03:38,46.5,BU4,CON1 - Bottom only,-33.9762,114.9214,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,338,07:16:01,2020,10,30,2020-10-30T07:16:01+08:00,07:19:01,46,BU4,CON1 - Bottom only,-33.9723,114.9225,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,260,07:25:21,2020,10,30,2020-10-30T07:25:21+08:00,07:28:21,46.1,BU4,CON1 - Bottom only,-33.9712,114.9164,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,259,07:39:07,2020,10,30,2020-10-30T07:39:07+08:00,07:42:07,46.3,BU4,CON1 - Bottom only,-33.9687,114.9214,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,258,07:48:52,2020,10,30,2020-10-30T07:48:52+08:00,07:51:52,46.2,BU4,CON1 - Bottom only,-33.9662,114.9139,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,FH10,08:08:24,2020,10,30,2020-10-30T08:08:24+08:00,08:11:24,42.2,BU4,CON1 - Bottom only,-33.9862,114.8864,"Fishing HWY sample, depth missing replaced with GA 250 bathy",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,FH111,08:17:49,2020,10,30,2020-10-30T08:17:49+08:00,08:20:49,41.6,BU4,CON1 - Bottom only,-33.9862,114.8789,"Fishing HWY sample, depth missing replaced with GA 250 bathy",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,130,08:30:30,2020,10,30,2020-10-30T08:30:30+08:00,08:33:30,40.5,BU4,CON1 - Bottom only,-33.9812,114.8764,depth missing replaced with GA 250 bathy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,152,08:39:18,2020,10,30,2020-10-30T08:39:18+08:00,08:42:18,41.9,BU4,CON1 - Bottom only,-33.9812,114.8689,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,134,08:47:50,2020,10,30,2020-10-30T08:47:50+08:00,08:50:50,41.3,BU4,CON1 - Bottom only,-33.9837,114.8614,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,133,08:58:26,2020,10,30,2020-10-30T08:58:26+08:00,09:01:26,40.5,BU4,CON1 - Bottom only,-33.9912,114.8664,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,132,09:07:01,2020,10,30,2020-10-30T09:07:01+08:00,09:10:01,42.7,BU4,CON1 - Bottom only,-33.9912,114.8714,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,FH77,09:18:46,2020,10,30,2020-10-30T09:18:46+08:00,09:21:46,42,BU4,CON1 - Bottom only,-33.9962,114.8764,Fishing HWY sample,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,FH52,09:28:26,2020,10,30,2020-10-30T09:28:26+08:00,09:31:26,42.8,BU4,CON1 - Bottom only,-33.9912,114.8889,Fishing HWY sample - mako shark,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,244,09:46:06,2020,10,30,2020-10-30T09:46:06+08:00,09:49:06,45.6,BU4,CON1 - Bottom only,-34.0037,114.9064,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,245,09:55:54,2020,10,30,2020-10-30T09:55:54+08:00,09:58:54,45.5,BU4,CON1 - Bottom only,-34.0087,114.9014,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,64,10:06:10,2020,10,30,2020-10-30T10:06:10+08:00,10:09:10,40.6,BU4,CON1 - Bottom only,-34.0137,114.8964,depth missing replaced with GA 250 bathy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,C01,10:16:53,2020,10,30,2020-10-30T10:16:53+08:00,10:19:53,40.8,BU4,CON1 - Bottom only,-34.015,114.8891,depth missing replaced with GA 250 bathy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,65,10:25:08,2020,10,30,2020-10-30T10:25:08+08:00,10:28:08,41.1,BU4,CON1 - Bottom only,-34.0112,114.8889,depth missing replaced with GA 250 bathy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,272,10:52:55,2020,10,30,2020-10-30T10:52:55+08:00,10:53:55,50.1,BU4,CON1 - Bottom only,-34.0087,114.8139,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,337,11:01:29,2020,10,30,2020-10-30T11:01:29+08:00,11:04:29,43.8,BU4,CON1 - Bottom only,-34.0054,114.8202,Snapper!! and snapper and dhueys and nannygai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,273,11:09:00,2020,10,30,2020-10-30T11:09:00+08:00,11:12:00,46,BU4,,-33.9987,114.8214,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,328,11:16:15,2020,10,30,2020-10-30T11:16:15+08:00,11:19:15,44.8,BU4,,-33.9936,114.8214,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,one weird bright colored thing not sure what it is,,South-west,Fished,,,,,,,,,,
20201030,269,11:26:27,2020,10,30,2020-10-30T11:26:27+08:00,11:29:27,47.7,BU4,,-33.9887,114.8139,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,145,11:36:14,2020,10,30,2020-10-30T11:36:14+08:00,11:39:14,44.3,BU4,,-33.9862,114.8239,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,147,11:45:03,2020,10,30,2020-10-30T11:45:03+08:00,11:48:03,43.6,BU4,,-33.9812,114.8314,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,158,11:57:31,2020,10,30,2020-10-30T11:57:31+08:00,12:00:31,46.1,BU4,,-33.9812,114.8189,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,146,12:05:43,2020,10,30,2020-10-30T12:05:43+08:00,12:08:43,45.3,BU4,,-33.9762,114.8214,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,157,12:14:40,2020,10,30,2020-10-30T12:14:40+08:00,12:17:40,44.7,BU4,,-33.9712,114.8239,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,,,,,,,,,,
20201030,OMR1,13:03:59,2020,10,30,2020-10-30T13:03:59+08:00,13:06:59,35.6,BU4,CON1,-33.9676,114.9582,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,Claude,Yes,,done on field laptop,Claude,20210429,Claude,,,
20201030,OMR2,13:15:35,2020,10,30,2020-10-30T13:15:35+08:00,13:18:35,38,BU4,CON1,-33.9679,114.9551,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,Claude,Yes,,done on field laptop,Claude,20210429,Claude,,,
20201030,OMR3,13:23:54,2020,10,30,2020-10-30T13:23:54+08:00,13:26:54,38,BU4,CON1,-33.9685,114.9543,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,Claude,Yes,,done on field laptop,Claude,20210430,Claude,,,
20201030,OMR4,13:35:02,2020,10,30,2020-10-30T13:35:02+08:00,13:38:02,38.6,BU4,CON1,-33.9682,114.9529,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,Claude,Yes,,done on field laptop,Claude,20210430,Claude,,,
20201031,216,07:01:16,2020,10,31,2020-10-31T07:01:16+08:00,07:04:16,47.5,BU4,CON1,-34.0612,114.9164,Filmed 355 should be 216,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,Rachel,Yes,,,Rachel,20210316,Claude,,,
20201031,235,07:11:46,2020,10,31,2020-10-31T07:11:46+08:00,07:14:46,47,BU4,CON1,-34.0912,114.9364,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,Fished,Rachel,Yes,,,Rachel,20210316,Claude,,,
20201031,217,07:19:39,2020,10,31,2020-10-31T07:19:39+08:00,07:22:39,46.3,BU4,CON1,-34.0662,114.9189,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,Rachel,Yes,,,Rachel,20210316,Claude,,,
20201031,215,07:28:33,2020,10,31,2020-10-31T07:28:33+08:00,07:31:33,46.9,BU4,CON1,-34.0687,114.9264,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,Rachel,Yes,,,Rachel,20210316,Claude,,,
20201031,356,07:39:03,2020,10,31,2020-10-31T07:39:03+08:00,07:42:03,47.2,BU4,CON1,-34.0696,114.9185,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,Rachel,Yes,,,Rachel,20210316,Claude,,,
