date,sample,time.bottom,time.end,year,month,day,date_time,depth_m,raw.hdd.number,con.hdd.number,longitude_dd,latitude_dd,comment,planned.or.exploratory,FishnClipz,habitat.image.exported,downwards.image.exported,status,site,location,marine.region,Observer,successful_count,successful_length,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210308,6,11:15:50,11:22:10,2021,03,08,2021-03-08T11:15:50+08:00,44.4,RAW2,CON1,114.918,-34.1073,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,149,11:27:50,11:34:31,2021,03,08,2021-03-08T11:27:50+08:00,45.1,RAW2,CON1,114.931,-34.1135,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,check small school of juv coris auricularis?
20210308,32,11:39:04,11:45:12,2021,03,08,2021-03-08T11:39:04+08:00,45.1,RAW2,CON1,114.921,-34.1125,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,116,11:47:32,11:53:46,2021,03,08,2021-03-08T11:47:32+08:00,45.1,RAW2,CON1,114.919,-34.1138,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,2 groper and 2 dhueys!
20210308,69,11:58:09,12:04:15,2021,03,08,2021-03-08T11:58:09+08:00,43.7,RAW2,CON1,114.911,-34.1187,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,138,12:06:14,12:12:39,2021,03,08,2021-03-08T12:06:14+08:00,41.8,RAW2,CON1,114.912,-34.119,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,76,12:16:18,12:22:41,2021,03,08,2021-03-08T12:16:18+08:00,43.3,RAW2,CON1,114.916,-34.1217,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,144,12:25:27,12:31:40,2021,03,08,2021-03-08T12:25:27+08:00,43.2,RAW2,CON1,114.92,-34.1221,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,5,12:36:29,12:43:11,2021,03,08,2021-03-08T12:36:29+08:00,45.2,RAW2,CON1,114.93,-34.125,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,107,12:49:09,12:55:45,2021,03,08,2021-03-08T12:49:09+08:00,44.4,RAW2,CON1,114.94,-34.1347,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,37,13:01:59,13:08:50,2021,03,08,2021-03-08T13:01:59+08:00,46.5,RAW2,CON1,114.931,-34.1303,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,
20210308,102,13:10:46,13:16:54,2021,03,08,2021-03-08T13:10:46+08:00,35.3,RAW2,CON1,114.926,-34.1305,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210630,,,,sambos after period
20210308,57,13:19:57,13:25:55,2021,03,08,2021-03-08T13:19:57+08:00,44.4,RAW2,CON1,114.924,-34.1341,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,24,13:28:10,13:34:43,2021,03,08,2021-03-08T13:28:10+08:00,39.9,RAW2,CON1,114.923,-34.1347,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,70,13:36:49,13:43:01,2021,03,08,2021-03-08T13:36:49+08:00,38.7,RAW2,CON1,114.922,-34.1321,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,"check juvenile coris auricularis, school of pempheris klunzingeri, can see plate coral bombie just off drop when pulling up"
20210308,62,13:46:11,13:52:40,2021,03,08,2021-03-08T13:46:11+08:00,40.4,RAW2,CON1,114.919,-34.1281,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,104,13:54:56,14:01:14,2021,03,08,2021-03-08T13:54:56+08:00,41.8,RAW2,CON1,114.918,-34.1255,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,30,14:03:59,14:09:35,2021,03,08,2021-03-08T14:03:59+08:00,41.7,RAW2,CON1,114.915,-34.1256,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,95,14:13:32,14:19:40,2021,03,08,2021-03-08T14:13:32+08:00,41.2,RAW2,CON1,114.91,-34.1229,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,skippy after period
20210308,106,14:31:45,,2021,03,08,2021-03-08T14:31:45+08:00,43.9,RAW2,CON1,114.875,-34.1313,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,"check 3 dotalabrus aurantiacus, not really convinced but dont know what else they could be"
20210308,39,14:42:20,14:48:28,2021,03,08,2021-03-08T14:42:20+08:00,42.3,RAW2,CON1,114.877,-34.1301,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,can see the pempheris klunzingeri better after period
20210308,140,14:54:08,15:00:15,2021,03,08,2021-03-08T14:54:08+08:00,42.4,RAW2,CON1,114.882,-34.1163,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,leatherjacket too far to id
20210308,10,15:04:55,15:11:15,2021,03,08,2021-03-08T15:04:55+08:00,41.5,RAW2,CON1,114.886,-34.1084,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,147,15:18:53,15:25:12,2021,03,08,2021-03-08T15:18:53+08:00,43.3,RAW2,CON1,114.895,-34.0908,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210308,23,15:29:52,15:36:40,2021,03,08,2021-03-08T15:29:52+08:00,43.2,RAW2,CON1,114.899,-34.0829,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,Old Point,07:36:34,07:43:45,2021,03,09,2021-03-09T07:36:34+08:00,42.3,RAW2,CON1,114.869122,-34.050194,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,one unknown right at the end
20210309,41,07:50:33,07:56:55,2021,03,09,2021-03-09T07:50:33+08:00,41.4,RAW2,CON1,114.877,-34.0596,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,33,08:07:39,08:14:08,2021,03,09,2021-03-09T08:07:39+08:00,46.7,RAW2,CON1,114.871,-34.0742,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,86,08:18:23,08:24:33,2021,03,09,2021-03-09T08:18:23+08:00,41.2,RAW2,CON1,114.865,-34.0774,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,56,08:30:02,08:36:32,2021,03,09,2021-03-09T08:30:02+08:00,41.6,RAW2,CON1,114.873,-34.0782,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,check parapriacanthus elongatus
20210309,65,08:41:51,08:48:19,2021,03,09,2021-03-09T08:41:51+08:00,41.6,RAW2,CON1,114.884,-34.0813,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,137,08:57:16,09:03:48,2021,03,09,2021-03-09T08:57:16+08:00,42.1,RAW2,CON1,114.877,-34.0854,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,
20210309,48,09:08:35,09:14:49,2021,03,09,2021-03-09T09:08:35+08:00,42.1,RAW2,CON1,114.882,-34.0891,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210701,,,,fastest leatherjackets ever? check
20210309,67,09:19:29,09:27:33,2021,03,09,2021-03-09T09:19:29+08:00,42.5,RAW2,CON1,114.873,-34.0899,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,"school of unknowns at the start, caesiopercas? or chromis school from later on?"
20210309,126,09:30:26,09:36:36,2021,03,09,2021-03-09T09:30:26+08:00,43.1,RAW2,CON1,114.87,-34.0912,Checked Cameras,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,"school of probably chromis and caesioperca off in distance, too far to ID. try and count estimate?"
20210309,44,09:43:34,09:49:50,2021,03,09,2021-03-09T09:43:34+08:00,43.8,RAW2,CON1,114.858,-34.0931,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,35,09:54:00,09:59:55,2021,03,09,2021-03-09T09:54:00+08:00,43.5,RAW2,CON1,114.852,-34.0959,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,check same wrasse as 106
20210309,100,10:03:01,10:09:10,2021,03,09,2021-03-09T10:03:01+08:00,43.4,RAW2,CON1,114.847,-34.0961,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,7,10:12:29,10:18:51,2021,03,09,2021-03-09T10:12:29+08:00,44.2,RAW2,CON1,114.853,-34.0995,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,108,10:21:15,10:27:19,2021,03,09,2021-03-09T10:21:15+08:00,44.1,RAW2,CON1,114.85,-34.1001,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,school of juv auricularis counted and added 1 point
20210309,26,10:30:44,10:37:34,2021,03,09,2021-03-09T10:30:44+08:00,44.2,RAW2,CON1,114.844,-34.1003,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,125,10:40:33,10:46:38,2021,03,09,2021-03-09T10:40:33+08:00,45.8,RAW2,CON1,114.847,-34.104,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,98,10:51:35,10:57:33,2021,03,09,2021-03-09T10:51:35+08:00,43.5,RAW2,CON1,114.856,-34.1139,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,1,11:05:09,11:11:00,2021,03,09,2021-03-09T11:05:09+08:00,44.1,RAW2,CON1,114.853,-34.1318,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,83,11:16:50,11:22:50,2021,03,09,2021-03-09T11:16:50+08:00,47.9,RAW2,CON1,114.838,-34.1341,Checked Cameras,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,"mad king wrasse school, but never really whole thing in the frame at one time"
20210309,88,11:29:20,11:35:58,2021,03,09,2021-03-09T11:29:20+08:00,50.3,RAW2,CON1,114.827,-34.1351,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,36,11:39:04,11:45:18,2021,03,09,2021-03-09T11:39:04+08:00,50.7,RAW2,CON1,114.822,-34.1317,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,130,11:51:00,11:57:41,2021,03,09,2021-03-09T11:51:00+08:00,48.1,RAW2,CON1,114.83,-34.1213,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,"dhu coral bombie, had to estimate some of the trachinops, too far away to accurately count all"
20210309,46,11:59:57,12:06:42,2021,03,09,2021-03-09T11:59:57+08:00,48.1,RAW2,CON1,114.831,-34.119,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,93,12:12:12,12:18:46,2021,03,09,2021-03-09T12:12:12+08:00,45.1,RAW2,CON1,114.845,-34.1196,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,78,12:21:57,12:29:18,2021,03,09,2021-03-09T12:21:57+08:00,46.7,RAW2,CON1,114.841,-34.1182,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,50,12:32:09,12:38:29,2021,03,09,2021-03-09T12:32:09+08:00,45.7,RAW2,CON1,114.842,-34.1143,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,added 1 point for klunzingeri school
20210309,80,12:45:20,12:51:50,2021,03,09,2021-03-09T12:45:20+08:00,46.6,RAW2,CON1,114.832,-34.1034,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,114,12:55:55,13:02:44,2021,03,09,2021-03-09T12:55:55+08:00,46.4,RAW2,CON1,114.834,-34.0969,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,64,13:06:18,13:12:00,2021,03,09,2021-03-09T13:06:18+08:00,47.7,RAW2,CON1,114.84,-34.0937,Checked Cameras,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210702,,,,
20210309,136,13:18:35,13:25:23,2021,03,09,2021-03-09T13:18:35+08:00,46,RAW2,CON1,114.833,-34.0891,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,97,13:29:24,13:35:50,2021,03,09,2021-03-09T13:29:24+08:00,44.8,RAW2,CON1,114.842,-34.0872,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,"Parapriacanthus elongatus number estimate not too great, really hard to see individual fish"
20210309,121,13:40:06,13:48:56,2021,03,09,2021-03-09T13:40:06+08:00,42.8,RAW2,CON1,114.853,-34.0836,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,3,13:52:23,13:58:58,2021,03,09,2021-03-09T13:52:23+08:00,43.5,RAW2,CON1,114.851,-34.0789,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,73,14:01:47,14:08:50,2021,03,09,2021-03-09T14:01:47+08:00,43.4,RAW2,CON1,114.848,-34.0802,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,118,14:17:04,14:23:02,2021,03,09,2021-03-09T14:17:04+08:00,47.3,RAW2,CON1,114.826,-34.0714,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
