"kappa","auc","block"
0.866336633663366,0.779248768472906,"3"
0.866336633663366,0.806444991789819,"5"
0.138613861386139,0.754515599343186,"2"
0.866336633663366,0.801518883415435,"4"
0.831683168316832,0.717056650246305,"1"
0.713861386138614,0.77175697865353,"mean"
