"kappa","auc","block"
0.728571428571429,0.910849952516619,"2"
0.785714285714286,0.924124101207434,"5"
0.785714285714286,0.947619895536562,"3"
0.814285714285714,0.946691425858093,"1"
0.785714285714286,0.946292904626238,"4"
0.78,0.935115655948989,"mean"
