"kappa","auc","block"
0.697386519944979,0.781414993566416,"3"
0.700137551581843,0.786856927226961,"5"
0.702888583218707,0.785525939123232,"4"
0.696011004126547,0.77874820586535,"1"
0.679504814305364,0.780248549077474,"2"
0.695185694635488,0.782558922971887,"mean"
