"","depth","TRI","TPI","roughness","slope","aspect","detrended"
"depth",1,-0.45,-0.12,-0.46,-0.4,0.34,-0.56
"TRI",-0.45,1,0.07,0.96,0.98,-0.03,0.39
"TPI",-0.12,0.07,1,-0.01,0.01,0.08,0.29
"roughness",-0.46,0.96,-0.01,1,0.96,-0.05,0.37
"slope",-0.4,0.98,0.01,0.96,1,0.01,0.32
"aspect",0.34,-0.03,0.08,-0.05,0.01,1,-0.29
"detrended",-0.56,0.39,0.29,0.37,0.32,-0.29,1
