"","Z","TRI","TPI","roughness","slope","aspect","detrended"
"Z",1,0.78,-0.24,0.8,0.78,0.57,-0.84
"TRI",0.78,1,-0.14,0.99,1,0.58,-0.68
"TPI",-0.24,-0.14,1,-0.13,-0.14,-0.08,0.38
"roughness",0.8,0.99,-0.13,1,0.99,0.62,-0.69
"slope",0.78,1,-0.14,0.99,1,0.57,-0.68
"aspect",0.57,0.58,-0.08,0.62,0.57,1,-0.43
"detrended",-0.84,-0.68,0.38,-0.69,-0.68,-0.43,1
