"sample","campaignid","relief.rank"
"21","2021-05_PtCloates_stereo-BRUVS",2
"21","2021-05_PtCloates_stereo-BRUVS",2
"21","2021-05_PtCloates_stereo-BRUVS",2
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",0
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"21","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",2
"22","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",2
"22","2021-05_PtCloates_stereo-BRUVS",2
"22","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",1
"22","2021-05_PtCloates_stereo-BRUVS",0
"22","2021-05_PtCloates_stereo-BRUVS",1
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"23","2021-05_PtCloates_stereo-BRUVS",0
"25","2021-05_PtCloates_stereo-BRUVS",1
"25","2021-05_PtCloates_stereo-BRUVS",0
"25","2021-05_PtCloates_stereo-BRUVS",1
"25","2021-05_PtCloates_stereo-BRUVS",1
"25","2021-05_PtCloates_stereo-BRUVS",2
"25","2021-05_PtCloates_stereo-BRUVS",1
