"","depth","TRI","TPI","roughness","slope","aspect","detrended"
"depth",1,-0.37,-0.11,-0.4,-0.35,0.38,-0.56
"TRI",-0.37,1,0.06,0.98,1,0.08,0.32
"TPI",-0.11,0.06,1,0.02,0.05,0.3,0.34
"roughness",-0.4,0.98,0.02,1,0.98,0.02,0.33
"slope",-0.35,1,0.05,0.98,1,0.1,0.3
"aspect",0.38,0.08,0.3,0.02,0.1,1,-0.15
"detrended",-0.56,0.32,0.34,0.33,0.3,-0.15,1
