"campaignid","sample","depth","multibeam_derivatives_depth","multibeam_derivatives_detrended","multibeam_derivatives_roughness","multibeam_derivatives_tpi","longitude","latitude"
"2020-06_south-west_stereo-BRUVs","01",46.7,47.5100517272949,-3.05923080444336,0.247932434082031,0.0394201278686523,309192.806314843,6221651.55744203
"2020-06_south-west_stereo-BRUVs","02",44.4,45.3168601989746,-0.635611057281494,0.549392700195312,-0.0507688522338867,308998.466733223,6222011.87490384
"2020-06_south-west_stereo-BRUVs","03",39.3,40.1455345153809,4.42871284484863,0.851966857910156,0.064997673034668,308735.215012736,6221830.11464205
"2020-06_south-west_stereo-BRUVs","04",44.1,45.5257377624512,-0.741800963878632,0.084136962890625,-0.017608642578125,308208.320937152,6222293.38836105
"2020-06_south-west_stereo-BRUVs","05",44.1,44.2237167358398,-0.210240468382835,0.104545593261719,-0.00629901885986328,307805.573564488,6221301.79083203
"2020-06_south-west_stereo-BRUVs","06",43.2,44.1506042480469,-0.334762245416641,0.0869369506835938,0.0383377075195312,307499.844897384,6221146.3093809
"2020-06_south-west_stereo-BRUVs","07",43.9,44.3742065429688,-0.7146897315979,0.0819549560546875,0.0483169555664062,307304.646826375,6220928.28371119
"2020-06_south-west_stereo-BRUVs","08",39.6,40.8592147827148,3.09546518325806,2.29771423339844,0.203677177429199,307431.978520989,6221532.15156407
"2020-06_south-west_stereo-BRUVs","09",43.8,44.8111610412598,0.0762853920459747,0.275650024414062,0.0422525405883789,307810.969418634,6222628.46592351
"2020-06_south-west_stereo-BRUVs","10",45.7,46.9101142883301,-1.74808394908905,0.40460205078125,-0.197183609008789,308043.871323845,6222882.52934147
"2020-06_south-west_stereo-BRUVs","11",45.08,46.7746543884277,-1.57351052761078,0.731025695800781,-0.313568115234375,308448.469462194,6222839.95129377
"2020-06_south-west_stereo-BRUVs","12",40.1,40.0104179382324,4.22054624557495,0.604652404785156,0.0883245468139648,308987.075107494,6221240.96373399
"2020-06_south-west_stereo-BRUVs","13",45.2,47.9796333312988,-3.52039289474487,1.82479858398438,-0.585522651672363,309163.267782787,6221661.27726364
"2020-06_south-west_stereo-BRUVs","14",35,36.6812629699707,7.78626346588135,1.54984283447266,0.279417991638184,308693.529965027,6221665.61152813
"2020-06_south-west_stereo-BRUVs","15",43,43.6969909667969,0.454592138528824,1.52138900756836,0.217276096343994,307289.774233884,6222010.78309799
"2020-06_south-west_stereo-BRUVs","16",40.9,43.6069946289062,0.238640815019608,1.51216888427734,-0.156041145324707,306944.521525915,6221874.00359226
"2020-06_south-west_stereo-BRUVs","17",40.2,41.7855033874512,2.35744142532349,1.15875244140625,-0.0351438522338867,308275.272383948,6221239.8052319
"2020-06_south-west_stereo-BRUVs","18",35.8,36.1700019836426,8.2594518661499,0.160324096679688,0.0156421661376953,308567.015196806,6221629.97538132
"2020-06_south-west_stereo-BRUVs","20",51.7,52.7091331481934,-0.865447521209717,0.284317016601562,0.017085075378418,298992.820286443,6221259.51354835
"2020-06_south-west_stereo-BRUVs","21",52.4,52.697193145752,-0.413587629795074,0.106849670410156,0.0519075393676758,298731.050803238,6221483.38711209
"2020-06_south-west_stereo-BRUVs","22",51.9,52.7611961364746,-1.48668217658997,0.104042053222656,-0.0402908325195312,298920.656870227,6221696.04591103
"2020-06_south-west_stereo-BRUVs","23",51.3,52.6974487304688,-1.02353966236115,0.427932739257812,-0.0724945068359375,298681.967105414,6221918.8583683
"2020-06_south-west_stereo-BRUVs","24",49.8,50.2286071777344,-0.999423623085022,0.12078857421875,0.0322103500366211,299534.68607289,6222544.89504071
"2020-06_south-west_stereo-BRUVs","25",48.4,49.648567199707,-0.677209794521332,0.108329772949219,-0.0386896133422852,299717.435690178,6222760.71762988
"2020-06_south-west_stereo-BRUVs","26",48.4,50.0654983520508,-1.14881646633148,0.753036499023438,-0.16911792755127,299770.809047053,6222312.24245458
"2020-06_south-west_stereo-BRUVs","27",47.8,48.0413131713867,0.340441584587097,0.127120971679688,0.03167724609375,300141.165000631,6222215.47598827
"2020-06_south-west_stereo-BRUVs","28",44.7,44.7377052307129,0.909236192703247,0.205703735351562,-0.000947952270507812,301894.991278002,6223240.95836109
"2020-06_south-west_stereo-BRUVs","29",43,44.6926383972168,0.304968804121017,0.160720825195312,-0.0751552581787109,302214.613150341,6223450.95082489
"2020-06_south-west_stereo-BRUVs","30",42.9,44.4381370544434,-0.087348461151123,0.311714172363281,0.0248928070068359,302568.6241558,6223346.31054203
"2020-06_south-west_stereo-BRUVs","31",44.4,44.3110618591309,-0.114306300878525,0.524703979492188,0.156302452087402,302695.612237171,6222914.79426326
"2020-06_south-west_stereo-BRUVs","32",43.2,44.302303314209,0.0934831723570824,0.164230346679688,-0.0683135986328125,302760.775155354,6221355.09428165
"2020-06_south-west_stereo-BRUVs","33",43.6,44.1498832702637,0.219721555709839,0.1409912109375,-0.0417184829711914,302916.213263844,6221026.47538642
"2020-06_south-west_stereo-BRUVs","34",42.7,44.3239402770996,-0.445964187383652,0.0564498901367188,0.00509548187255859,303221.433468673,6221225.15160089
"2020-06_south-west_stereo-BRUVs","35",43.8,43.8144645690918,-0.0227024182677269,0.398300170898438,0.00977420806884766,303533.356270605,6220846.97867867
"2020-06_south-west_stereo-BRUVs","36",42.2,42.7118148803711,0.233038991689682,0.36419677734375,-0.204766273498535,304345.592412706,6221342.90071892
"2020-06_south-west_stereo-BRUVs","37",41.2,43.0062637329102,-0.215008959174156,0.123008728027344,-0.0218620300292969,304398.237368144,6221802.24567909
